SoundFiles3,Correct,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no1.started,no1.stopped,no_2.started,no_2.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,9.049425600096583,None,9.049425600096583,None,9.585423000040464,None,space,0.4606990999309346,9.585423000040464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
,,,,,,,,,,,,,,,,,,,,10.141697800019756,None,10.136128000041936,None,10.141697800019756,None,10.570071900030598,None,10.570071900030598,None,space,4.129141200101003,10.570071900030598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.720477900002152,None,14.720477900002152,None,space,0.644517199951224,14.720477900002152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.396280199987814,None,space,0.716562099987641,15.396280199987814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.396280199987814,None,16.145284500089474,None,16.145284500089474,None,space,0.6867548000300303,16.145284500089474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
Practice/Seagull_A.wav,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.994260400068015,None,16.987998679990415,None,16.994260400068015,None,3,1,2.1690526999300346,19.29568169999402,None,19.29568169999402,None,19.29568169999402,None,19.29568169999402,None,19.29568169999402,None,21.48611890000757,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
Practice/Skid_B.wav,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.504797600093298,None,22.500590820086654,None,22.504797600093298,None,3,1,2.3150037999730557,24.61769029998686,None,24.61769029998686,None,24.61769029998686,None,24.61769029998686,None,24.61769029998686,None,26.954049900057726,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
Practice/Seagull_A.wav,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9679701999994,None,27.968219820049125,None,27.9679701999994,None,2,0,2.496185600059107,30.267534199985676,None,30.267534199985676,None,30.267534199985676,None,30.267534199985676,None,30.267534199985676,None,32.802562099997886,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
Practice/Gargle_A.wav,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.83148649998475,None,33.82071354005021,None,33.83148649998475,None,1,0,0.6606868000235409,36.121090900036506,None,36.121090900036506,None,36.121090900036506,None,36.121090900036506,None,36.121090900036506,None,36.804621900082566,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
Practice/Gargle_B.wav,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.84004550008103,39.88461519998964,37.835220740037045,None,37.84004550008103,39.88461519998964,2,1,0.4660940000321716,39.915155600057915,None,39.915155600057915,None,39.915155600057915,None,39.915155600057915,None,39.915155600057915,None,40.41387849999592,None,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_22_2017,GuessTheSound,2020.2.10,59.980086613231265,
