SoundFiles3,Correct,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,WelcomeTxt1.started,WelcomeTxt1.stopped,ContinueKey1.started,ContinueKey1.stopped,ContinueResp.keys,ContinueResp.rt,ContinueResp.started,ContinueResp.stopped,Welcome2Txt.started,Welcome2Txt.stopped,Wel2ContinueKey.keys,Wel2ContinueKey.rt,Wel2ContinueKey.started,Wel2ContinueKey.stopped,Continue2.started,Continue2.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,no1.started,no1.stopped,no_2.started,no_2.stopped,no_3.started,no_3.stopped,TargetSound.started,TargetSound.stopped,Cross.started,Cross.stopped,ItemNumber.started,ItemNumber.stopped,MSTQuestion.started,MSTQuestion.stopped,MSTResp.keys,MSTResp.corr,MSTResp.rt,MSTResp.started,MSTResp.stopped,ThankyouMssg.started,ThankyouMssg.stopped,CompletionCode.started,CompletionCode.stopped,ExitTxt.started,ExitTxt.stopped,ExitKey.keys,ExitKey.rt,ExitKey.started,ExitKey.stopped,CodeTxt.started,CodeTxt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,25.987024900037795,None,25.987024900037795,None,26.849957500002347,None,space,0.8901730000507087,26.849957500002347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
,,,,,,,,,,,,,,,,,,,,27.79323690000456,None,27.785927759972402,None,27.79323690000456,None,29.190501300035976,None,29.190501300035976,None,space,0.7097782000200823,29.190501300035976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.927322300034575,None,29.927322300034575,None,space,0.5670721000060439,29.927322300034575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.523563400027342,None,space,0.42463250004220754,30.523563400027342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.523563400027342,None,30.976913699996658,None,30.976913699996658,None,space,0.6067485000239685,30.976913699996658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Practice/Seagull_A.wav,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.786983800004236,34.05226530006621,31.78586535996292,None,31.786983800004236,34.05226530006621,3,1,1.764800600009039,34.10840280004777,None,34.10840280004777,None,34.10840280004777,None,34.10840280004777,None,34.10840280004777,None,35.93366730003618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Practice/Skid_B.wav,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.93706500006374,None,36.93517645997926,None,36.93706500006374,None,3,1,0.652749800006859,39.05299360002391,None,39.05299360002391,None,39.05299360002391,None,39.05299360002391,None,39.05299360002391,None,39.73522380006034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Practice/Seagull_A.wav,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.73502600006759,None,40.73490232998738,None,40.73502600006759,None,1,1,2.6265368999447674,43.03336220001802,None,43.03336220001802,None,43.03336220001802,None,43.03336220001802,None,43.03336220001802,None,45.68486549996305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Practice/Gargle_A.wav,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.74463129998185,None,46.73395191999152,None,46.74463129998185,None,2,0,0.5407590999966487,49.040944100008346,None,49.040944100008346,None,49.040944100008346,None,49.040944100008346,None,49.040944100008346,None,49.6004747999832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
Practice/Gargle_B.wav,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.612940500024706,None,50.61728085998911,None,50.612940500024706,None,2,1,0.5945996000664309,52.678519800072536,None,52.678519800072536,None,52.678519800072536,None,52.678519800072536,None,52.678519800072536,None,53.31714679999277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_23_1426,GuessTheSound,2020.2.10,60.02912613015317,
