SoundFile,SoundCorrect,Correct2,SoundType,Trial,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,InstructionTxt.started,InstructionTxt.stopped,WelcomContinue.started,WelcomContinue.stopped,VolumeBeginTxt.started,VolumeBeginTxt.stopped,VolumeContinueKey.keys,VolumeContinueKey.rt,VolumeContinueKey.started,VolumeContinueKey.stopped,text.started,text.stopped,Music.started,Music.stopped,AdjustContinue.started,AdjustContinue.stopped,HeadphoneCheckBeing.started,HeadphoneCheckBeing.stopped,HeadphoneContinue.started,HeadphoneContinue.stopped,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,HeadphoneContinueKey.started,HeadphoneContinueKey.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionTxt2.started,InstructionTxt2.stopped,WelcomeContinue2.started,WelcomeContinue2.stopped,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,WelcomeContinueKey2.started,WelcomeContinueKey2.stopped,TrialNumber.started,TrialNumber.stopped,PracticeSound.started,PracticeSound.stopped,PracticeCross.started,PracticeCross.stopped,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,Practice_resp.started,Practice_resp.stopped,PracticeMssg.started,PracticeMssg.stopped,FeedbackCross.started,FeedbackCross.stopped,Continue.started,Continue.stopped,Options.started,Options.stopped,FeedbackMssg.started,FeedbackMssg.stopped,StartTxt.started,StartTxt.stopped,StartTast.keys,StartTast.rt,StartTast.started,StartTast.stopped,ContinueStart.started,ContinueStart.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,13.81974419998005,None,13.81974419998005,None,14.908199899829924,None,space,0.7756272000260651,14.908199899829924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
,,,,,,,,,,,,,,,,,,,15.745788199827075,None,15.741347640007733,None,15.745788199827075,None,16.747171299997717,None,16.747171299997717,None,space,0.5631097001023591,16.747171299997717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.331064899917692,None,17.331064899917692,None,space,0.38206120021641254,17.331064899917692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.745576600078493,None,17.745576600078493,None,space,2.590558599680662,17.745576600078493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.357451499905437,None,20.357451499905437,None,space,0.45939140021800995,20.357451499905437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
Practice/Seagull_A.wav,2,3,NEW,Practice,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.180807599797845,23.44078340008855,21.173944379575552,None,21.180807599797845,23.44078340008855,3,1,1.1991515001282096,23.504119500052184,None,23.504119500052184,None,23.504119500052184,None,23.504119500052184,None,23.504119500052184,None,24.725996799767017,None,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
Practice/Skid_B.wav,2,3,NEW,Practice,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.793146200012416,None,25.79106201985851,None,25.793146200012416,None,3,1,0.6141841001808643,27.912127699702978,None,27.912127699702978,None,27.912127699702978,None,27.912127699702978,None,27.912127699702978,None,28.55726909963414,None,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
Practice/Seagull_A.wav,1,1,OLD,Practice,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.57205449976027,31.840624399948865,29.574134659767154,None,29.57205449976027,31.840624399948865,3,0,0.6634547999128699,31.887851499952376,None,31.887851499952376,None,31.887851499952376,None,31.887851499952376,None,31.887851499952376,None,32.58753559971228,None,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
Practice/Gargle_A.wav,2,3,NEW,Practice,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.63809069991112,None,33.64083271995187,None,33.63809069991112,None,3,1,0.6767330002039671,35.92979609966278,None,35.92979609966278,None,35.92979609966278,None,35.92979609966278,None,35.92979609966278,None,36.643920899834484,None,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
Practice/Gargle_B.wav,2,2,SIMILAR,Practice,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.69466049969196,None,37.690680919773875,None,37.69466049969196,None,3,0,0.340382999740541,39.775741999968886,None,39.775741999968886,None,39.775741999968886,None,39.775741999968886,None,39.775741999968886,None,40.153573899995536,None,,,,,,,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.15814909990877,None,space,1.0873754997737706,41.15814909990877,None,,,,001,2021_Mar_08_1002,GuessTheSound,2020.2.10,60.144442929735845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.15814909990877,None,,,,,,,
