VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,5.13254,space,9.661575,2,1,3.313215,0,0,0,3,1,Headphone/t2_2.wav,2,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.073275,0,1,1,1,1,Headphone/t1_2.wav,1,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.3089,0,2,2,5,1,Headphone/t3_2.wav,3,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.63223,0,3,3,2,1,Headphone/t2_1.wav,2,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.05158,0,4,4,0,1,Headphone/t1_1.wav,1,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.477875,0,5,5,4,1,Headphone/t3_1.wav,3,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,space,59.213205,space,7.54849,space,3.687885,2,1,3.26291,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,1.18762,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,1.049755,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.54082,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,0,0.299575,0,4,4,4,1,Practice/Gargle_B.wav,2,2,SIMILAR,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/ManWhistle.wav,2,3,NEW,B,space,3.61904,2,1,0.885865,0,0,0,0,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Siren_E.wav,2,3,NEW,B,,,2,1,0.359585,0,1,1,1,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_C.wav,2,3,NEW,B,,,2,1,0.44064,0,2,2,2,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chicken_A.wav,2,3,NEW,B,,,2,1,0.312195,0,3,3,3,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Phone_D.wav,2,3,NEW,B,,,2,1,0.277055,0,4,4,4,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cup.wav,2,3,NEW,B,,,2,1,0.594635,0,5,5,5,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bowlingpins.wav,2,3,NEW,B,,,2,1,0.252215,0,6,6,6,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Bird_C.wav,2,3,NEW,B,,,2,1,0.31695,0,7,7,7,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/HairDryer_A.wav,2,3,NEW,B,,,2,1,0.411325,0,8,8,8,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Faucet_A.wav,2,3,NEW,B,,,2,1,0.31774,0,9,9,9,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Siren_A.wav,2,2,SIMILAR,B,,,1,0,0.275435,0,10,10,10,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Laugh_A.wav,2,3,NEW,B,,,2,1,0.27399,0,11,11,11,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/ManWhistle.wav,1,1,OLD,B,,,1,1,0.32428,0,12,12,12,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cow.wav,2,3,NEW,B,,,2,1,0.291025,0,13,13,13,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cough_C.wav,2,3,NEW,B,,,2,1,0.271135,0,14,14,14,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Phone_E.wav,2,2,SIMILAR,B,,,1,0,0.276845,0,15,15,15,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Chime_B.wav,2,3,NEW,B,,,2,1,0.415855,0,16,16,16,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Footsteps_F.wav,2,2,SIMILAR,B,,,1,0,0.489835,0,17,17,17,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Toilet_B.wav,2,3,NEW,B,,,1,0,0.303455,0,18,18,18,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Piano_D.wav,2,3,NEW,B,,,2,1,0.291945,0,19,19,19,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/Cup.wav,1,1,OLD,B,,,1,1,0.366085,0,20,20,20,1,,
,,,,,,,,,,,,,,5f9b106e21189e2d3b853846,2021-03-21_20h52.28.767,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,SoundMST/HairDryer_A.wav,1,1,OLD,B,,,1,1,0.290705,0,21,21,21,1,,
