WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles2,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
space,7.03056,space,4.06839,barking,0,0,0,69,1,Dog_C.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,engine start,0,1,1,66,1,Carstart_C.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,fireworks,0,2,2,5,1,Initial/NoRepeat/Fireworks.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,engine starting ,0,3,3,28,1,Initial/Doubled/CarStart_A.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,keyboard typing,0,4,4,6,1,Test/Foils/Typing.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,bird wistle,0,5,5,24,1,Test/Foils/Bird.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,airplane,0,6,6,10,1,Initial/Repeat/Airplane_B.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,telephone,0,7,7,27,1,Test/Foils/DialTone.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,bells,0,8,8,35,1,Initial/NoRepeat/Sleighbells_B.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,water drops,0,9,9,0,1,Initial/NoRepeat/Droplet_B.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,sink with open water,0,10,10,36,1,Initial/NoRepeat/Faucet_A.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,cat meowing,0,11,11,37,1,Initial/Doubled/Cat_A.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,bird whistling,0,12,12,64,1,Bird_D.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,a man coughing ,0,13,13,38,1,Initial/Doubled/Cough_A.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,a man gargling ,0,14,14,47,1,Initial/Doubled/Gargle_A.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,a woman coughing,0,15,15,75,1,Cough_C.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,applause,0,16,16,41,1,Initial/Doubled/Clap_A.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
,,,,a man clearing his voice,0,17,17,74,1,Cough_B.wav,5f4cf80c0bce10081b6460e2,001,2021-01-05_15h51.52.480,GuessTheSound,2020.2.10,MacIntel,60,,
