VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.corr,Practice_resp.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,SoundFile,SoundCorrect,Correct2,SoundType,Trial,StartTast.keys,StartTast.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ExitKey.keys,ExitKey.rt
space,5.97513,space,9.61685,1,1,2.49841,0,0,0,1,1,Headphone/t1_2.wav,1,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.58293,0,1,1,3,1,Headphone/t2_2.wav,2,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.559025,0,2,2,5,1,Headphone/t3_2.wav,3,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,0.36324,0,3,3,2,1,Headphone/t2_1.wav,2,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,0.893005,0,4,4,4,1,Headphone/t3_1.wav,3,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,0.483705,0,5,5,0,1,Headphone/t1_1.wav,1,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,space,18.158845,space,8.780655,space,5.794145,2,1,1.529225,0,0,0,0,1,Practice/Seagull_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.52612,0,1,1,1,1,Practice/Skid_B.wav,2,3,NEW,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,1,1,0.82916,0,2,2,2,1,Practice/Seagull_A.wav,1,1,OLD,Practice,,,,,,,,,,,,
,,,,,,,,,,,,,,60204c263941fb63d9d794bc,2021-03-21_15h00.56.013,GuessTheSound,2020.2.10,Win32,60,,,,,,,2,1,0.76591,0,3,3,3,1,Practice/Gargle_A.wav,2,3,NEW,Practice,,,,,,,,,,,,
